Developer,Genre,Total_Global_Sales
Ubisoft Montreal,Misc,1.57
Konami,Misc,1.57
High Voltage Software,Misc,1.56
Telltale Games,Adventure,1.56
KCE Studios,Action,1.56
Ubisoft,Puzzle,1.55
Digital Illusions,Shooter,1.55
THQ,Sports,1.55
Griptonite Games,Adventure,1.55
Koei,Action,1.55
Light Weight,Fighting,1.55
Blitz Games Studios,Sports,1.54
Mind Candy,Misc,1.54
Treyarch,Platform,1.54
The Code Monkeys,Sports,1.54
GRIN,Shooter,1.54
Art,Platform,1.53
"Naughty Dog, Sony Bend",Shooter,1.53
Papaya Studios,Action,1.53
TOSE,Adventure,1.51
"Genius Sonority Inc., Disney Interactive Studios",Adventure,1.51
"Square Enix, Tri-Ace",Role-Playing,1.51
Nixxes Software,Action,1.51
Midway,Action,1.5
Namco Bandai Games,Role-Playing,1.5
Artificial Mind and Movement,Shooter,1.49
Eden,Racing,1.49
Eighting,Fighting,1.49
Day 1 Studios,Simulation,1.49
Sega,Action,1.48
Square Enix,Shooter,1.48
Barking Lizards,Adventure,1.48
Treyarch,Sports,1.47
Racjin,Role-Playing,1.46
Airtight Games,Action,1.45
BigPark,Racing,1.43
Planet Moon Studios,Misc,1.43
"Blue Byte, Related Designs",Strategy,1.43
"EA Canada, Nihilistic",Fighting,1.43
Bandai,Simulation,1.42
"Digital Extremes, 2K Marin",Shooter,1.42
Tantalus Interactive,Action,1.42
"Pipeworks Software, Inc.",Action,1.42
Flagship,Action,1.42
Barnstorm Games,Misc,1.41
Anchor,Fighting,1.41
Indie Built,Sports,1.41
UDS,Racing,1.39
PlatinumGames,Shooter,1.39
"Kush Games, Visual Concepts",Sports,1.39
Capcom,Simulation,1.39
Magic Pockets,Sports,1.39
"Crystal Dynamics, Nixxes Software",Action,1.38
Arzest,Platform,1.38
Acclaim,Fighting,1.38
Blitz Games,Shooter,1.38
Crystal Dynamics,Adventure,1.38
"Square Enix, Think and Feel",Role-Playing,1.37
Big Sky Software,Platform,1.37
Nex Entertainment,Shooter,1.37
BudCat,Sports,1.36
TT Games,Platform,1.36
Bluepoint Games,Shooter,1.36
"Climax Group, Climax Studios",Action,1.35
The Coalition,Shooter,1.35
Edge of Reality,Platform,1.34
Engine Software,Action,1.34
"Dimps Corporation, Namco Bandai Games",Fighting,1.34
Rockstar Vienna,Shooter,1.34
Project Soul,Fighting,1.33
Pandemic Studios,Strategy,1.33
Climax Group,Action,1.33
Team Fusion,Racing,1.32
Rare Ltd.,Racing,1.32
M2,Misc,1.32
"Tetris Online, Inc",Puzzle,1.32
Inti,Platform,1.31
Radical Entertainment,Racing,1.31
Digital Illusions,Platform,1.31
